id,prediction
0,0.21244156
1,-0.052417316
2,-0.1959657
3,3.759409
4,56.440155
5,159.92184
6,355.29306
7,461.26257
8,496.9459
9,457.7055
10,447.0431
11,466.08438
12,385.00623
13,390.614
14,381.6957
15,302.98303
16,180.35904
17,103.173515
18,34.851467
19,1.1802416
20,-0.26483688
21,0.0317641
22,-0.07689181
23,-0.081790306
24,0.4613769
25,0.61721295
26,0.33776
27,21.637133
28,112.33017
29,243.56375
30,324.26013
31,452.9425
32,613.5647
33,685.94543
34,689.5145
35,687.6803
36,671.29517
37,650.87823
38,555.35657
39,400.83734
40,239.1847
41,120.777756
42,56.410175
43,9.256561
44,2.4831657
45,1.4939592
46,0.5313087
47,-0.67231476
48,0.7196295
49,0.36037686
50,0.7221067
51,37.403847
52,146.91412
53,286.1873
54,468.12036
55,645.3806
56,806.702
57,928.20325
58,977.822
59,931.0096
60,884.15967
61,797.25555
62,615.192
63,441.97803
64,258.9353
65,157.28964
66,72.07525
67,17.762665
68,-0.14424634
69,0.50323784
70,0.5578679
71,0.73829186
72,0.36542806
73,0.4753691
74,3.607976
75,29.759808
76,102.99492
77,239.67545
78,438.6864
79,652.6991
80,737.385
81,621.15656
82,620.0153
83,613.0404
84,516.16797
85,441.30765
86,602.6847
87,502.39746
88,322.56827
89,139.65552
90,59.741486
91,19.495731
92,-2.3808336
93,-1.0245868
94,-1.6740199
95,0.060485397
96,-1.4042927
97,-0.91125506
98,4.4063334
99,43.542446
100,123.86952
101,234.68661
102,412.54114
103,580.9625
104,777.52216
105,851.8246
106,973.26
107,968.34753
108,959.9536
109,854.2971
110,661.4169
111,535.7168
112,357.32745
113,196.90207
114,87.788284
115,25.668972
116,0.7789395
117,-0.28516608
118,-0.14141293
119,0.26179326
120,-0.18782866
121,-0.38110617
122,6.9544373
123,50.00067
124,147.97647
125,329.9715
126,494.84033
127,647.43005
128,731.09125
129,729.1522
130,775.4097
131,694.8884
132,656.4919
133,712.2767
134,654.29425
135,496.83405
136,303.35712
137,176.89667
138,94.55539
139,28.814362
140,1.5643277
141,0.1607832
142,-0.07947076
143,-0.42954275
144,-0.61642057
145,-0.5671873
146,7.7271976
147,52.496346
148,146.41206
149,321.14444
150,489.63495
