date_forecast,absolute_humidity_2m:gm3,air_density_2m:kgm3,ceiling_height_agl:m,clear_sky_energy_1h:J,clear_sky_rad:W,cloud_base_agl:m,dew_or_rime:idx,dew_point_2m:K,diffuse_rad:W,diffuse_rad_1h:J,direct_rad:W,direct_rad_1h:J,effective_cloud_cover:p,elevation:m,fresh_snow_12h:cm,fresh_snow_1h:cm,fresh_snow_24h:cm,fresh_snow_3h:cm,fresh_snow_6h:cm,is_day:idx,is_in_shadow:idx,msl_pressure:hPa,precip_5min:mm,precip_type_5min:idx,pressure_100m:hPa,pressure_50m:hPa,prob_rime:p,rain_water:kgm2,relative_humidity_1000hPa:p,sfc_pressure:hPa,snow_density:kgm3,snow_depth:cm,snow_drift:idx,snow_melt_10min:mm,snow_water:kgm2,sun_azimuth:d,sun_elevation:d,super_cooled_liquid_water:kgm2,t_1000hPa:K,total_cloud_cover:p,visibility:m,wind_speed_10m:ms,wind_speed_u_10m:ms,wind_speed_v_10m:ms,wind_speed_w_1000hPa:ms,pv_measurement
2022-10-28 22:00:00,8.424999,1.232,3077.35,0.0,0.0,2088.4,1.0,281.475,0.0,0.0,0.0,0.0,100.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000.35,0.0,0.0,987.65,993.65,0.0,0.1,92.625,999.65,0.0,0.0,0.0,0.0,0.525,352.5335,-39.35075,0.0,284.65002,100.0,14903.125,0.65,-0.25,0.6,0.0,-0.0
2022-10-28 23:00:00,8.25,1.2315,3512.1,0.0,0.0,1825.775,1.0,281.075,0.0,0.0,0.0,0.0,100.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,998.95,0.02,0.25,986.25,992.25,0.0,0.125,92.075,998.3,0.0,0.0,0.0,0.0,0.9,11.17975,-39.233,0.025,284.1,100.0,4831.175,1.0,0.75,0.575,0.0,-0.0
2022-10-29 00:00:00,8.1,1.229,1817.3999,0.0,0.0,1683.875,1.0,280.9,0.0,0.0,0.0,0.0,100.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,996.8,0.13,1.0,984.1,990.1,0.0,0.2,89.2,996.15,0.0,0.0,0.0,0.0,1.05,28.76425,-37.2925,0.25,284.0,100.0,3392.425,1.5,0.95,1.05,0.0,-0.0
2022-10-29 01:00:00,8.25,1.228,1556.2,0.0,0.0,1446.45,1.0,281.15,0.0,0.0,0.0,0.0,100.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,996.25,0.09,1.0,983.55,989.55,0.0,0.25,90.825,995.625,0.0,0.0,0.0,0.0,0.9,46.0065,-33.2275,0.22500001,284.45,100.0,3026.25,1.65,1.125,1.2,0.0,-0.0
2022-10-29 02:00:00,8.4,1.226,1232.65,0.0,0.0,893.175,1.0,281.375,0.0,0.0,0.0,0.0,100.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,996.2,0.24,1.0,983.5,989.5,0.0,0.3,92.65,995.5,0.0,0.0,0.0,0.0,1.075,61.81875,-27.817749,0.3,284.5,100.0,2415.375,2.475,2.2,1.125,0.0,-0.0
2022-10-29 03:00:00,8.65,1.222,999.175,0.0,0.0,737.2,0.5,281.85,0.0,0.0,0.0,0.0,100.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,996.45,0.24,1.0,983.75,989.75,0.0,0.3,89.2,995.75,0.0,0.0,0.0,0.0,1.3249999,76.40375,-21.563,0.32500002,284.775,100.0,2208.9,5.675,5.325,2.0,0.0,-0.0
2022-10-29 04:00:00,8.7,1.22175,799.075,0.0,0.0,577.325,0.0,282.05,0.0,0.0,0.0,0.0,100.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,997.35,0.28,1.0,984.65,990.625,0.0,0.3,89.675,996.625,0.0,0.0,0.0,0.0,1.075,90.148,-14.91375,0.2,284.1,100.0,2144.2,6.575,6.475,-0.14999998,0.0,-0.0
2022-10-29 05:00:00,8.35,1.227,940.5,0.0,0.0,445.475,0.0,281.325,0.0,0.0,0.0,0.0,100.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,998.85,0.15,1.0,986.1,992.125,0.0,0.17500001,91.725,998.15,0.0,0.0,0.0,0.0,0.4,103.46825,-8.26475,0.25,282.65,100.0,4769.625,5.25,4.9,-1.9749999,0.0,-0.0
2022-10-29 06:00:00,8.0,1.231,1130.6,127.9,0.45,370.3,0.0,280.65,0.075,140.7,0.0,0.0,100.0,7.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,1000.45,0.0,0.0,987.6,993.6,0.0,0.025,92.0,999.65,0.0,0.0,0.0,0.0,0.075,116.74325,-1.9755,0.35000002,281.85,100.0,11611.075,4.7,4.375,-1.7,0.0,-0.0
2022-10-29 07:00:00,7.725,1.234,946.15,39977.824,29.599998,326.225,0.0,280.2,10.0,18143.8,2.125,3844.125,94.275,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1002.0,0.0,0.0,989.1,995.1,0.0,0.0,91.15,1001.2,0.0,0.0,0.0,0.0,0.0,130.27501,3.60925,0.275,281.425,94.275,20219.625,4.875,4.3500004,-2.1999998,0.0,4.727003105018749
